名称,地址,电话,营业时间
荔枝角,九龍荔枝角道324-330號地下,2725 0441,星期一至日: 08:00-22:30
帝庭軒,新界粉嶺帝庭軒第1期1樓35號舖,3125 4105,星期一至日: 08:00-22:00
唯一,九龍土瓜灣道66號唯一大廈地下A及B號舖,2142 9324,星期一至日: 08:00-24:00
興田2,香港九龍藍田興田邨興田商場地下101號舖,2757 2378,08:00 - 22:00
興田2,香港九龍藍田興田邨興田商場地下101號舖,2757 2378,星期一至日: 08:00 - 22:00
電訊一代廣場,九龍觀塘成業街10 號電訊一代廣場地下2 號舖,2792 7868,星期一至五:08:00-22:00 星期六至日&公众假期：09:00-21:00
萬盛閣,九龍荔枝角道168號萬盛閣地下4-6舖,2396 2368,星期一至日: 08:30-22:30
金碧閣,九龍窩打老道84號E金碧閣,2760 0356,星期一至日: 07:30-24:00
昇悅居,九龍長沙灣荔枝角道833號昇悅居購物商場1樓,2204 4791,星期一至日: 07:30-22:00
百匯軒,九龍荔枝角道33號百匯軒地下3-4號舖,2521 6328,星期一至日: 08:00-22:00
海聯廣場,"新界粉嶺聯和墟和睦路9號海聯廣場地下1,2C及2D號舖",2601 2528,星期一至日: 09:00-21:00
華懋王子大廈,九龍旺角道93-95號華懋王子大廈地下4-5舖,2394 3230,星期一至日: 08:30-24:00
富威花園,九龍自由道7號富威花園地下C舖,2776 5822,星期一至日: 08:30-21:30
荃灣,新界荃灣路德圍57-61號地下,2411 6796,星期一至日: 07:30-24:00
英皇娛樂廣場,新界荃灣眾安街55號大鴻輝(荃灣)中心地庫第一層,2439 4481,星期一至日: 08:30-22:30
海悅豪園,新界將軍澳海悅豪園購物中心地下2號舖,2246 3249,星期一至日: 08:00-24:00
葵盛西,新界葵涌葵盛(西)村商場 2 樓 29-31號舖,2149 6874,星期一至日: 08:30-21:30
藍田,九龍藍田啟田邨啟田商場1樓104號,2347 9635,星期一至日: 08:00-23:00
樂悠居,新界荃灣楊屋道138號樂悠居1樓 20號舖,2439 1050,星期一至日: 09:00-21:00
港灣豪庭,九龍大角咀福利街 8 號港灣豪庭廣場 1 樓 125 舖,3144 3783,星期一至日: 08:00-23:00
匯景廣場,九龍藍田匯景道8號匯景廣場4樓2F 號舖,2205 6532,星期一至日: 08:00-22:30
南昌邨,九龍深水埗南昌村昌逸樓地下14-22 號舖,2958 9074,星期一至日: 09:30-20:30
南昌薈,九龍深水埗西邨路富昌邨南昌薈1樓F104號舖,2783 8685,星期一至日: 08:00-22:30
大角咀,九龍大角咀塘尾道52號地下,2789 4008,星期一至日: 08:30-22:00
富康花園,新界將軍澳唐明街1號富康花園一樓112-113號舖,2242 5018,星期一至日: 08:00-21:00
